Filename,Best,Function,NumEvals,X,Y,Z,RunTime_sec
36.stl,First Best,38427.86505486106,254,0,-1,0,00:00:14.0455544
,Second Best,100712.70052607404,254,-0.42054380798479246,0,-0.9072722334369382,00:00:00.0012773
adaptor.stl,First Best,105.7475947102248,181,0,0,1,00:00:09.2451119
,Second Best,234.9028131807676,181,0,1,0,00:00:00.0006320
Aerospace_Beam2.STL,First Best,84554.88992260226,188,0,-1,0,00:00:01.8554026
,Second Best,121886.77808698973,188,0,1,0,00:00:00.0008461
Aerospace_Beam_Fillets.STL,First Best,70821.60986584888,308,1,0,0,00:00:17.4692492
,Second Best,75482.68201499757,308,-1,0,0,00:00:00.0034890
bearing bracket.STL,First Best,1375.5161358450023,176,1,0,0,00:00:01.4923084
,Second Best,3603.539139571,176,0,0,-1,00:00:00.0020516
Casing.stl,First Best,2.7223724993903664,124,0,0,1,00:00:17.1207778
,Second Best,3.168786491687797,124,-1,0,0,00:00:00.0018335
CoffeeSpoonHolder.stl,First Best,0.0016900210356977658,200,0,0,-1,00:00:00.7413814
,Second Best,0.0016900211834742593,200,0,0,1,00:00:00.0015845
Cuboide.stl,First Best,3.7683919798366574,160,0,-1,0,00:00:03.2806913
,Second Best,3.768391985345618,160,0,1,0,00:00:00.0024451
Lower Wishbone.STL,First Best,141272.47379218752,146,0,-0.997029181813051,0.07702474026699552,00:00:12.9784448
,Second Best,142564.75304921553,146,0,0,-1,00:00:00.0023151
mendel_extruder.stl,First Best,81.1518424644117,329,0,0,-1,00:00:04.4721020
,Second Best,180.87480273063417,329,1,0,0,00:00:00.0021557
Mic_Holder_JR.stl,First Best,0.30082459403938216,195,0,-1,0,00:00:05.8113031
,Second Best,0.31507922040598474,195,0,1,0,00:00:00.0023867
Mic_Holder_SW.stl,First Best,14094.957894705516,384,-7.891204878839954E-09,-0.8889827348390278,-0.4579407135843273,00:00:05.1964258
,Second Best,15872.332840594472,384,8.632816988939134E-09,-0.8961369547653193,-0.4437776000475236,00:00:00.0029509
ObliqueHole.stl,First Best,3596.301298775738,287,0,1,0,00:00:09.9489196
,Second Best,14823.322725231727,287,0,-1,0,00:00:00.0020948
piston.STL,First Best,2231.0217160859634,182,0,0,1,00:00:07.6155075
,Second Best,2765.957871221418,182,0,1,0,00:00:00.0028357
Pump.stl,First Best,579978.9303444452,168,0,0,-1,00:00:09.4483710
,Second Best,675903.8622503757,168,0,-1,0,00:00:00.0022986
radiobox.stl,First Best,44.20726230121931,198,0,1,0,00:00:04.9882744
,Second Best,4426.547946066019,198,0,0,-1,00:00:00.0036949
Rook.amf.3mf,First Best,0.039458338696828646,75,0,-1,0,00:00:01.3177435
,Second Best,0.059206420225805974,75,0,1,0,00:00:00.0014592
spherebox.stl,First Best,382179.89670828613,195,0.5257311121191336,0,0.85065080835204,00:00:01.5555590
,Second Best,388768.92966598185,195,0.5257311121191336,0,-0.85065080835204,00:00:00.0022132
SquareSupportWithAdditionsForSegmentationTesting.STL,First Best,16436.25320800852,366,-0.004828334267553242,6.752009977831239E-09,0.9999883435261637,00:00:11.1497197
,Second Best,28613.005318311458,366,-1,0,0,00:00:00.0023862
Square_Support.STL,First Best,31128.497365729676,401,0,1,0,00:00:11.0248788
,Second Best,61958.359046016296,401,0,-1,0,00:00:00.0046103
sth2.STL,First Best,57093.39197717362,157,1,0,0,00:00:03.8638252
,Second Best,58212.281169370646,157,-1,0,0,00:00:00.0023784
TestPartC.STL,First Best,4825.112387724223,312,0,0,-1,00:00:05.1616046
,Second Best,4825.3487792005235,312,0,0,1,00:00:00.0020099
TestPartK2.STL,First Best,78559.85831147603,249,0,0,1,00:00:05.9691291
,Second Best,100833.23218929334,249,-0.5257311121191336,0,0.85065080835204,00:00:00.0018107
TieFighter.STL,First Best,22680.863186698836,216,0,0,-1,00:00:03.3074559
,Second Best,40522.98094541111,216,0,-1,0,00:00:00.0022896
TXT - Amortisseur-1 X5 butoir de ressort-1.STL,First Best,210083.36012770262,212,-1,0,0,00:00:03.4210663
,Second Best,153925070.99290365,212,0.2628655560595668,0.9510565162951535,0.16245984811645314,00:00:00.0022640
TXT - G5 support de carrosserie-1.STL,First Best,109.4029495288695,237,0,0,1,00:00:10.4807942
,Second Best,112.18880850554012,237,0,0,-1,00:00:00.0029377
