Filename,Best,Function,NumEvals,X,Y,Z,RunTime_sec,g1
36.stl,1,699.8047675,165,-0.309016994,-0.5,-0.809016994,00:16.9,-0.1
36.stl,2,699.8047675,165,0.864187827,-0.442862713,0.238855641,00:16.9,-0.1
36.stl,3,699.8047676,165,0.162998495,0.395605657,0.903840503,00:16.9,-0.1
36.stl,4,699.8047676,165,0.762841184,-0.395749278,0.511327524,00:16.9,-0.1
36.stl,5,699.8047676,165,0.284241224,0.58575979,0.759007506,00:16.9,-0.1
36.stl,6,699.8047676,165,-0.09321262,0.958663899,-0.268839982,00:16.9,-0.1
36.stl,7,699.8047676,165,0.066654638,0.997077259,-0.037337638,00:16.9,-0.1
36.stl,8,5906567221,165,0,-1,0,00:16.9,76854.19455
adaptor.stl,1,241.3370125,215,0.023137521,-0.0246298,-0.999428851,00:26.5,-15.11840603
adaptor.stl,2,241.3370125,215,-0.023137521,0.0246298,-0.999428851,00:26.5,-15.2558969
adaptor.stl,3,384.0094153,215,0.049553165,-0.041079213,0.997926341,00:26.5,11.94455536
adaptor.stl,4,387.2949384,215,-0.049553165,0.041079213,0.997926341,00:26.5,12.0813048
adaptor.stl,5,17563.72928,215,0.525731112,0,-0.850650808,00:26.5,131.6145596
adaptor.stl,6,17583.17115,215,-0.484350048,-0.147511086,0.862348833,00:26.5,131.6883979
adaptor.stl,7,17840.02066,215,-0.48647063,0.158989366,0.859109252,00:26.5,132.6600303
adaptor.stl,8,19183.77139,215,0.525731112,0,0.850650808,00:26.5,137.6315167
adaptor.stl,9,19194.46109,215,-0.525731112,0,0.850650808,00:26.5,137.6703458
adaptor.stl,10,61895.03491,215,0,0.850650808,0.525731112,00:26.5,248.3016269
adaptor.stl,11,61966.68817,215,0,-0.850650808,0.525731112,00:26.5,248.4458717
Aerospace_Beam2.STL,1,28574.27136,140,0,-1,0,00:03.0,-16910.97983
Aerospace_Beam2.STL,2,3335388495,140,0,1,0,00:03.0,57752.8224
Aerospace_Beam2.STL,3,33626715164,140,1,0,0,00:03.0,183375.7499
Aerospace_Beam2.STL,4,34323011772,140,-1,0,0,00:03.0,185264.5678
Aerospace_Beam2.STL,5,1.53573E+11,140,-0.150695777,0.051125832,-0.987257278,00:03.0,391883.3555
Aerospace_Beam_Fillets.STL,1,35216.20479,94,1,0,0,00:12.4,-14164.29496
Aerospace_Beam_Fillets.STL,2,36182.8203,94,-1,0,0,00:12.4,-4842.788062
Aerospace_Beam_Fillets.STL,3,13908006922,94,-0.807782023,-0.589468372,0.003904058,00:12.4,117932.058
Aerospace_Beam_Fillets.STL,4,26095322965,94,0.765792653,-0.642700959,-0.022295519,00:12.4,161540.3551
Aerospace_Beam_Fillets.STL,5,37007525008,94,-0.207541316,0.978051185,0.018506269,00:12.4,192373.3048
Aerospace_Beam_Fillets.STL,6,48680758334,94,0.074681123,0.994530801,0.073015178,00:12.4,220637.0814
bearing bracket.STL,1,705.8317667,134,1,0,0,00:03.0,-275.1041343
bearing bracket.STL,2,42394.57843,134,0.006139435,-0.048179,0.998819849,00:03.0,194.1471349
bearing bracket.STL,3,1978132.721,134,-0.024658665,-0.061842765,-0.99778125,00:03.0,1404.788686
bearing bracket.STL,4,2273137.104,134,-0.996829201,-0.031542286,0.073052231,00:03.0,1506.132675
bearing bracket.STL,5,2315656.203,134,-0.996829201,-0.031542286,-0.073052231,00:03.0,1520.182468
bearing bracket.STL,6,28175898.06,134,-0.047638558,-0.998092936,0.039256331,00:03.0,5307.654528
bearing bracket.STL,7,30365452.39,134,0.047638558,-0.998092936,0.039256331,00:03.0,5510.059067
Casing.stl,1,0.165892553,136,-1,0,0,00:27.4,0.407299096
Casing.stl,2,0.185042426,136,1,0,0,00:27.4,0.430165579
Casing.stl,3,0.360114895,136,0,0,1,00:27.4,-0.525029508
Casing.stl,4,2.456593519,136,-0.05697258,0.022984437,-0.998111137,00:27.4,0.377694228
Casing.stl,5,2.557211192,136,0,-1,0,00:27.4,1.499883513
Casing.stl,6,5.043326947,136,0.514883652,-0.063297062,0.854920059,00:27.4,1.652085457
Casing.stl,7,5.652950962,136,-0.080264255,0.996724244,0.009921208,00:27.4,1.827295918
Casing.stl,8,5.747681168,136,0,1,0,00:27.4,1.853041915
CoffeeSpoonHolder.stl,1,1975.031828,115,0.973765696,0.227037622,-0.015306441,00:01.2,-9.027822707
CoffeeSpoonHolder.stl,2,1975.031828,115,0.973765696,-0.227037622,0.015306441,00:01.2,-9.027731698
CoffeeSpoonHolder.stl,3,5213.741564,115,-1,0,0,00:01.2,56.90966384
CoffeeSpoonHolder.stl,4,28351.82655,115,-0.074017338,-0.995967816,0.050690661,00:01.2,162.4093431
CoffeeSpoonHolder.stl,5,28351.82655,115,-0.074017338,0.995967816,0.050690661,00:01.2,162.4093431
CoffeeSpoonHolder.stl,6,43689.87604,115,0,1,0,00:01.2,204.3239885
CoffeeSpoonHolder.stl,7,43689.87604,115,0,-1,0,00:01.2,204.3239885
Cuboide.stl,1,41.49667712,92,0,1,0,00:05.5,6.441791453
Cuboide.stl,2,41.49667717,92,0,-1,0,00:05.5,6.441791456
Lower Wishbone.STL,1,23380.01829,136,-0.995336141,0.077366281,-0.057623126,00:31.4,-3454.681728
Lower Wishbone.STL,2,23380.01829,136,-0.995336141,0.077366281,0.057623126,00:31.4,-3428.122191
Lower Wishbone.STL,3,193602047.7,136,1,0,0,00:31.4,13913.25511
Lower Wishbone.STL,4,4107503652,136,0,-1,0,00:31.4,64089.62687
Lower Wishbone.STL,5,6835953462,136,-0.766735583,0.641820254,-0.013539104,00:31.4,82679.68361
Lower Wishbone.STL,6,11367124061,136,-0.525731112,0,-0.850650808,00:31.4,106616.606
Lower Wishbone.STL,7,15721651751,136,0.836263422,0.548325019,0.001778326,00:31.4,125385.9178
mendel_extruder.stl,1,588.2788174,131,0,0,-1,00:04.4,-16.23175204
mendel_extruder.stl,2,35031.28264,131,1,0,0,00:04.4,183.1845114
mendel_extruder.stl,3,80480.3129,131,0,-1,0,00:04.4,281.6772716
mendel_extruder.stl,4,102259.4066,131,-1,0,0,00:04.4,317.4660441
mendel_extruder.stl,5,234257.9871,131,-0.026584242,0.998077711,0.055983585,00:04.4,481.9622013
mendel_extruder.stl,6,238912.5205,131,0,1,0,00:04.4,487.3013904
Mic_Holder_JR.stl,1,34.59001349,136,1,0,0,00:07.8,0.847078226
Mic_Holder_JR.stl,2,34.59012829,136,-1,0,0,00:07.8,0.847145981
Mic_Holder_JR.stl,3,35.48542145,136,0,-1,0,00:07.8,0.007034135
Mic_Holder_JR.stl,4,35.48656424,136,0,1,0,00:07.8,0.034529265
Mic_Holder_JR.stl,5,38.52189507,136,-0.525731112,0,-0.850650808,00:07.8,0.462544143
Mic_Holder_JR.stl,6,38.52189507,136,-0.657660812,0.67862139,-0.327040159,00:07.8,0.462544143
Mic_Holder_JR.stl,7,38.52189507,136,0.657660812,0.67862139,-0.327040159,00:07.8,0.462544143
Mic_Holder_SW.stl,1,79042.50484,240,0.727672395,-0.624483799,0.283747899,00:09.2,-0.1
Mic_Holder_SW.stl,2,79042.50484,240,-0.727672395,-0.624483799,-0.283747899,00:09.2,-0.1
Mic_Holder_SW.stl,3,79042.50484,240,-0.727672395,-0.624483799,0.283747899,00:09.2,-0.1
Mic_Holder_SW.stl,4,79042.50484,240,0.727672395,-0.624483799,-0.283747899,00:09.2,-0.1
Mic_Holder_SW.stl,5,79042.50484,240,0.525731112,-0.850650808,0,00:09.2,-0.1
Mic_Holder_SW.stl,6,79042.50484,240,-0.525731112,-0.850650808,0,00:09.2,-0.1
Mic_Holder_SW.stl,7,22811631.81,240,-0.850650808,-0.525731112,0,00:09.2,4767.870521
Mic_Holder_SW.stl,8,22811631.81,240,0.850650808,-0.525731112,0,00:09.2,4767.870521
ObliqueHole.stl,1,36000,122,-0.240225941,-0.933205869,-0.267242033,00:07.4,-0.1
